N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론
1,삼성전자,"69,000","1,400",+2.07%,100,"4,084,550","5,919,638",50.32,"6,128,695",15.41,9.03,
2,SK하이닉스,"260,000","4,000",+1.56%,"5,000","1,892,806","728,002",55.06,"820,264",6.56,31.06,
3,LG에너지솔루션,"347,000","2,000",-0.57%,500,"811,980","234,000",4.24,"78,663",-82.05,-4.93,
4,삼성바이오로직스,"1,001,000","5,000",+0.50%,"2,500","712,452","71,174",12.81,"30,656",55.40,10.45,
5,한화에어로스페이스,"935,000","19,000",+2.07%,"5,000","482,118","51,563",43.93,"78,552",18.13,53.94,
6,삼성전자우,"56,200",800,+1.44%,100,"458,578","815,975",74.20,"573,641",12.55,N/A,
7,HD현대중공업,"510,000",0,0.00%,"5,000","452,743","88,773",10.91,"94,882",48.48,11.39,
8,현대차,"220,000",500,-0.23%,"5,000","450,467","204,758",36.40,"249,286",5.18,12.43,
9,기아,"106,900",400,+0.38%,"5,000","420,961","393,789",40.30,"236,153",4.91,19.09,
10,KB금융,"108,350","1,250",+1.17%,"5,000","413,314","381,462",77.52,"223,705",7.52,8.86,
11,셀트리온,"170,800","1,000",+0.59%,"1,000","394,444","230,939",21.29,"182,897",81.29,2.46,
12,두산에너빌리티,"59,700",100,+0.17%,"5,000","382,415","640,561",23.25,"1,958,808",-357.49,1.52,
13,한화오션,"121,600","5,200",+4.47%,"5,000","372,599","306,413",14.35,"3,309,869",42.89,11.52,
14,NAVER,"225,500","10,000",+4.64%,100,"353,703","156,853",42.22,"1,454,180",18.09,7.90,
15,신한지주,"64,400",400,+0.63%,"5,000","312,659","485,495",59.47,"332,006",7.07,8.11,
16,삼성생명,"151,300","7,500",+5.22%,500,"302,600","200,000",22.18,"229,245",14.27,6.18,
17,현대모비스,"321,000",500,-0.16%,"5,000","294,662","91,795",44.06,"91,716",7.17,9.35,
18,HD한국조선해양,"415,000",0,0.00%,"5,000","293,708","70,773",32.55,"152,201",19.03,11.16,
19,삼성물산,"168,200","1,800",+1.08%,100,"285,901","169,977",27.60,"93,385",14.73,6.83,
20,카카오,"59,600","1,600",-2.61%,100,"263,506","442,125",29.58,"2,705,459",123.91,0.56,
21,한국전력,"36,900",450,+1.23%,"5,000","236,885","641,964",20.70,"842,477",3.74,9.22,
22,하나금융지주,"81,900",600,+0.74%,"5,000","233,189","284,724",66.69,"166,185",6.18,9.11,
23,HMM,"22,450",50,+0.22%,"5,000","230,121","1,025,039",6.40,"476,442",5.08,15.35,
24,메리츠금융지주,"126,100",800,+0.64%,500,"226,998","180,014",15.72,"71,177",10.32,23.44,
25,POSCO홀딩스,"278,000","3,000",-1.07%,"5,000","224,994","80,933",29.78,"112,363",47.07,2.00,
26,현대로템,"196,000","4,000",+2.08%,"5,000","213,919","109,142",31.41,"508,781",35.75,21.85,
27,삼성화재,"459,500","5,500",+1.21%,500,"211,421","46,011",55.85,"29,962",11.73,13.11,
28,SK스퀘어,"144,150",850,-0.59%,100,"191,058","132,541",53.30,"96,536",3.40,21.70,
29,LG화학,"268,000","3,500",-1.29%,"5,000","189,187","70,592",32.07,"97,153",-19.93,-2.11,
30,삼성중공업,"21,050",250,+1.20%,"1,000","185,240","880,000",31.92,"3,560,404",65.37,1.77,
31,우리금융지주,"24,650",150,+0.61%,"5,000","183,049","742,592",47.02,"256,666",6.36,9.39,
32,HD현대일렉트릭,"492,500","5,500",+1.13%,"5,000","177,532","36,047",36.32,"45,764",32.72,39.34,
33,고려아연,"830,000","14,000",+1.72%,"5,000","166,193","20,023",11.88,"10,050",42.78,2.28,
34,KT&G,"135,800","1,300",-0.95%,"5,000","165,761","122,062",41.42,"157,946",17.69,12.66,
35,삼성SDI,"202,000","1,000",-0.49%,"5,000","162,783","80,586",26.57,"203,924",-39.94,3.13,
36,크래프톤,"332,500","1,500",+0.45%,100,"157,582","47,393",42.21,"31,660",15.89,21.10,
37,SK이노베이션,"100,700",500,+0.50%,"5,000","152,092","151,035",13.51,"62,890",-5.13,-9.65,
38,기업은행,"18,990",70,+0.37%,"5,000","151,431","797,426",13.76,"248,580",5.67,8.06,
39,SK,"206,000","1,000",-0.48%,200,"149,356","72,503",25.30,"62,765",11.89,-5.64,
