1,이트론,11,3,-21.43%,"67,752,763",783,11,12,100,0.55,-2.85
2,빌리언스,449,19,-4.06%,"27,192,459","13,490",453,454,183,-8.16,-10.32
3,현대무벡스,"5,880","1,225",+26.32%,"23,484,327","135,660","5,840","5,850","6,549",26.73,16.17
4,크레오에스지,451,86,+23.56%,"19,853,804","8,368",440,441,871,-5.07,-29.01
5,러셀,"2,320",255,+12.35%,"17,917,570","43,150","2,325","2,330",738,-331.43,8.06
6,유니슨,"1,260",213,+20.34%,"17,479,001","21,422","1,268","1,269","2,151",-11.89,-36.03
7,이화전기,81,13,-13.83%,"17,046,630","1,415",80,81,177,1.65,-5.83
8,태웅로직스,"3,515",490,+16.20%,"13,003,481","45,455","3,385","3,390","1,396",6.66,12.68
9,일승,"6,160",190,+3.18%,"10,684,770","68,734","6,150","6,160","1,893",37.56,4.57
10,스맥,"3,875",125,+3.33%,"10,354,393","40,745","3,885","3,890","2,644",24.22,18.73
11,동방선기,"4,635",150,+3.34%,"9,231,337","44,353","4,645","4,650",649,11.04,15.71
12,다날,"8,490",150,-1.74%,"8,532,621","72,438","8,550","8,560","5,854",-72.56,2.46
13,코닉오토메이션,"2,350",120,+5.38%,"8,251,498","19,796","2,305","2,310",989,-69.12,3.92
14,디에이치엑스컴퍼니,999,109,+12.25%,"8,004,451","8,734","1,005","1,007",172,-0.67,-32.48
15,삼화네트웍스,"1,518",45,+3.05%,"7,923,023","12,570","1,523","1,524",655,-18.98,3.25
16,오리엔탈정공,"7,870",500,+6.78%,"7,748,041","63,050","7,930","7,940","3,587",13.64,26.45
17,KD,680,54,+8.63%,"7,417,209","5,093",635,637,182,-1.50,12.56
18,케이에스피,"5,560",280,+5.30%,"7,059,784","40,454","5,520","5,530","2,235",19.17,25.99
19,동일스틸럭스,"1,529",10,+0.66%,"7,053,316","11,734","1,587","1,588",400,-4.81,-28.53
20,성호전자,"1,063",36,+3.51%,"6,574,821","7,534","1,068","1,069",754,-8.79,6.54
21,썸에이지,558,20,-3.46%,"6,204,264","3,541",558,559,777,-9.79,-28.33
22,조아제약,"1,169",157,+15.51%,"6,177,724","7,422","1,164","1,165",362,-3.59,-26.54
23,뉴로핏,"12,720","2,420",+23.50%,"6,176,577","75,001","12,860","12,870","1,470",-7.50,34.38
24,올릭스,"76,400","상한가17,600",+29.93%,"6,022,035","431,673","76,400",0,"15,362",-30.91,-120.11
25,한라캐스트,"4,670",300,+6.86%,"5,571,933","26,639","4,710","4,715","1,705",12.10,46.18
26,휴림로봇,"2,605",90,+3.58%,"5,450,756","14,251","2,590","2,595","3,112",162.81,-5.59
27,삼영엠텍,"9,080",150,-1.63%,"5,311,291","49,479","9,140","9,150","1,180",13.27,8.54
28,미투온,"6,120",160,+2.68%,"4,623,822","27,726","5,990","6,000","1,860",N/A,0.40
29,손오공,"1,090",15,+1.40%,"4,518,555","4,946","1,101","1,106",730,-4.98,-38.27
30,피델릭스,"1,290",32,+2.54%,"4,410,697","5,710","1,296","1,298",427,-8.43,-4.53
31,현대ADM,"2,740",40,+1.48%,"4,283,523","12,164","2,760","2,765","1,325",-14.65,-118.31
32,디와이디,357,38,+11.91%,"4,233,229","1,528",354,356,447,-0.92,-241.11
33,현대힘스,"27,450",200,+0.73%,"4,220,645","119,122","27,550","27,600","9,739",51.21,8.07
34,텔콘RF제약,"1,854",29,+1.59%,"3,973,350","7,693","1,844","1,845",424,-3.23,-28.11
35,제닉스로보틱스,"9,030",760,+9.19%,"3,946,863","36,867","9,010","9,020","1,185","-4,515.00",15.62
36,원풍물산,585,89,-13.20%,"3,937,484","2,490",588,590,238,-7.70,-23.77
37,소니드,453,32,+7.60%,"3,853,904","1,792",440,441,334,-0.47,-74.62
38,모비스,"2,875",90,-3.04%,"3,799,574","11,316","2,885","2,895",925,-17.22,32.31
39,우리기술,"3,685",20,-0.54%,"3,765,119","14,135","3,715","3,720","6,100",38.39,-3.33
40,케이엔알시스템,"12,670",570,-4.31%,"3,757,292","50,425","12,820","12,830","1,378",-19.08,-43.41
41,아이비젼웍스,"1,375",7,-0.51%,"3,595,429","5,198","1,376","1,382",467,-5.43,-17.05
42,레이저옵텍,"7,440",500,+7.20%,"3,476,589","27,731","7,870","7,890",913,-15.25,N/A
43,서남,"3,070",245,-7.39%,"3,444,118","10,922","3,080","3,085",741,-18.49,-41.79
44,에스피시스템스,"9,270",110,-1.17%,"3,426,865","33,152","9,260","9,290",999,-37.08,-3.83
45,CSA 코스믹,973,41,-4.04%,"3,386,944","3,393",978,981,596,-8.93,-32.17
46,에스엠코어,"4,405",35,+0.80%,"2,898,985","13,128","4,450","4,460",882,14.88,21.04
47,좋은사람들,"2,095",35,-1.64%,"2,742,817","5,805","2,090","2,095","2,031",-43.65,0.60
48,파인메딕스,"8,730","1,280",+17.18%,"2,708,831","23,470","8,550","8,560",491,-80.09,-0.15
49,에이프릴바이오,"24,650","1,450",+6.25%,"2,622,875","65,880","24,650","24,700","5,563",573.26,26.90
50,클로봇,"19,240",310,+1.64%,"2,507,918","49,370","19,310","19,320","4,765",-61.47,-15.71
51,SGA,"3,280",80,-2.38%,"2,295,793","7,565","3,295","3,300","1,931",-218.67,-3.07
52,원익홀딩스,"9,000",10,+0.11%,"2,290,786","20,694","8,990","9,000","6,951",-16.51,-7.41
53,로보티즈,"93,900","6,000",+6.83%,"2,260,562","211,935","93,800","93,900","12,414",988.42,-3.31
54,PS일렉트로닉스,"4,625",205,-4.24%,"2,213,659","10,362","4,635","4,640","1,998",-49.20,-9.27
55,삼양컴텍,"18,220",920,-4.81%,"2,133,791","39,517","18,290","18,300","7,509",35.38,38.14
56,고바이오랩,"6,420",660,+11.46%,"1,818,641","11,480","6,070","6,090","1,247",-15.18,-12.79
57,앱코,"1,115",35,-3.04%,"1,768,875","1,983","1,109","1,110",565,11.86,8.21
58,블루엠텍,"5,790",310,+5.66%,"1,735,561","9,988","5,800","5,810","1,940",-20.39,N/A
59,알파녹스,"1,764",14,+0.80%,"1,731,957","3,290","1,786","1,789",302,-3.70,-29.00
60,케이프,"9,380",10,-0.11%,"1,687,076","16,392","9,470","9,480","2,899",14.17,7.47
61,현대바이오,"5,880",160,+2.80%,"1,674,337","10,149","5,840","5,850","5,647",-26.02,-16.36
62,삼현,"15,260",810,+5.61%,"1,632,144","24,577","15,160","15,170","4,839",52.62,N/A
63,푸른기술,"8,650",160,+1.88%,"1,560,983","13,884","8,790","8,800",723,39.32,5.39
64,샌즈랩,"8,530",750,+9.64%,"1,422,999","12,706","8,490","8,500","1,302",-78.98,-5.21
65,청담글로벌,"7,890",850,-9.73%,"1,407,633","11,494","7,870","7,880","1,661",606.92,2.85
66,대창솔루션,450,3,+0.67%,"1,374,697",617,450,452,829,-6.72,-10.84
67,한선엔지니어링,"7,850",40,-0.51%,"1,285,673","10,678","7,860","7,870","1,356",17.41,7.30
68,우양,"5,010",10,+0.20%,"1,282,700","6,353","5,040","5,050",820,-238.57,-3.06
69,케이쓰리아이,"5,220",420,+8.75%,"1,226,216","6,398","5,140","5,150",391,-8.01,N/A
70,강스템바이오텍,"1,182",11,-0.92%,"1,222,206","1,407","1,177","1,178",663,-4.30,-17.52
71,국일신동,"1,595",92,-5.45%,"1,212,150","2,261","1,826","1,827",177,-5.64,-7.58
72,하이젠알앤엠,"36,200","2,150",+6.31%,"1,199,560","44,206","36,100","36,150","11,181",-201.11,-1.92
73,헝셩그룹,231,1,+0.43%,"1,195,631",275,229,230,434,46.20,0.69
74,TS트릴리온,222,11,+5.21%,"1,193,907",260,218,219,238,-4.53,-19.64
75,디앤디파마텍,"159,800","19,600",+13.98%,"1,188,967","181,241","156,400","156,500","17,291",-45.70,-49.03
76,네오이뮨텍,961,39,-3.90%,"1,089,255","1,049",956,957,950,-3.18,-70.17
77,보성파워텍,"3,825",25,+0.66%,"1,068,807","4,124","3,825","3,835","1,879",11.88,6.80
78,더즌,"5,110",10,+0.20%,"1,067,290","5,494","5,130","5,140","3,665",31.74,28.06
79,하이드로리튬,"2,490",60,-2.35%,"1,041,650","2,607","2,480","2,485","1,349",-3.03,-23.16
80,유니테스트,"13,990","1,230",+9.64%,"1,015,353","13,973","14,020","14,030","2,957",-13.29,-19.88
81,SGA솔루션즈,700,7,-0.99%,"1,009,938",716,703,707,597,-4.67,-20.26
82,제주반도체,"16,550",280,+1.72%,"1,000,859","16,492","16,610","16,620","5,700",48.11,11.44
83,율호,"1,169",99,-7.81%,"967,059","1,168","1,180","1,182",841,-4.95,-23.33
84,티엑스알로보틱스,"13,760",730,+5.60%,"966,091","13,816","13,830","13,850","2,126",106.67,14.93
85,스튜디오미르,"4,860",130,-2.61%,"925,640","4,568","4,915","4,920","1,591",-64.80,0.29
86,글로벌텍스프리,"4,785",50,-1.03%,"921,161","4,450","4,770","4,775","3,363",16.97,5.60
87,팬스타엔터프라이즈,930,1,+0.11%,"885,652",828,931,934,"1,076",14.09,6.67
88,캔버스엔,"1,078",65,-5.69%,"883,897",979,"1,079","1,080",254,-3.06,-34.96
89,국일제지,468,1,-0.21%,"880,388",411,466,469,"5,276",-66.86,-9.98
90,한국선재,"3,500",50,+1.45%,"873,448","3,061","3,495","3,500",893,700.00,-1.02
91,헬릭스미스,"7,050",490,+7.47%,"872,940","6,069","6,980","7,000","3,250",-40.29,-10.43
92,하이록코리아,"35,450","2,450",+7.42%,"858,475","31,153","35,650","35,700","4,359",10.50,11.38
93,파인엠텍,"11,640",180,-1.52%,"849,960","9,878","11,550","11,560","4,381",-14.85,-11.87
94,원텍,"10,140",310,-2.97%,"845,143","8,573","10,110","10,120","9,123",22.74,25.76
95,엔에프씨,"6,740",660,-8.92%,"797,308","5,638","6,800","6,810",602,28.56,-9.03
96,케이씨티,"4,200",50,-1.18%,"779,930","3,317","4,210","4,215",720,48.84,2.58
97,에스엔시스,"51,550",850,+1.68%,"771,191","40,885","51,500","51,600","4,865",17.30,28.30
98,알체라,"2,825",125,+4.63%,"758,246","2,157","2,810","2,815","1,094",-10.87,-125.69
99,에스유앤피,290,39,+15.54%,"742,748",202,277,279,110,-0.13,-88.89
100,아이에이,183,0,0.00%,"741,849",136,183,184,688,-2.77,-25.89
